Sex,Age,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12
1,33,10.28,45.95,20.96,3325.31,32.05,13.5,30.23,7189.5,32.45,19.8,30.08,6537.73
1,39,10.47,49.38,17.94,2311.3,39.71,30.84,40.92,19543.6,38.5,29.63,37.49,18503.9
1,43,13.71,20.36,17.33,2515.7,35.48,22.98,26.4,9050.11,36.88,21.37,22.57,7964.74
0,31,15.92,78.4,44.75,20534.2,41.72,35.67,45.15,23620,39.71,31.44,41.33,18022.9
1,31,10.87,60.06,31.64,5577.92,38.11,27.21,32.45,12475.26,37.09,26.01,31.64,13012
1,30,10.47,31.84,12.7,2040.96,32.46,19.35,24.39,6792.36,30.44,17.33,21.98,5389.95
0,33,14.31,72.16,34.26,10994.8,39.71,28.43,44.95,21060.5,41.32,31.65,44.55,23602.5
1,34,13.51,51.2,23.78,6371.52,37.7,29.63,38.5,15223,27.83,30.23,28.43,7116.99
0,41,10.89,61.67,35.19,7652.2,33.86,22.17,28.88,10392.32,34.26,22.17,28.62,11653.3
1,44,12.9,61.43,19.96,6599.3,35.43,25.4,34.87,14055.9,36.49,23.78,35.28,16467.4
1,31,11.69,52,30.64,5985.22,37.9,26.81,36.08,16622.3,40.52,28.42,34.07,19323.1
0,33,19.68,59.66,28.6,15023.9,39.14,27.99,48.67,21357.6,39.15,30.02,50.09,23624.7
0,31,14.92,39.1,22.37,5935.3,40.71,26.61,39.1,17085.8,38.5,24.8,39.91,18431.9
0,35,14.72,44.95,31.44,8258.56,40.31,20.56,38.09,14125.4,39.51,22.38,35.88,15181.8
0,30,26.01,71.95,39.2,23357.6,41.73,29.43,40.11,19326.6,38.7,29.22,41.72,18516
1,34,19.35,79.11,37.09,14131.3,38.92,25.4,36.08,17407.7,36.9,23.38,33.87,16623.6
1,35,18.14,64.09,32.85,10575.9,40.31,23.78,35.88,13968.1,40.31,22.78,34.47,12124
